pl_name,pl_letter,pl_controv_flag,tran_flag,rv_flag,ttv_flag,ptv_flag,ast_flag,micro_flag,ima_flag,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_orblper,pl_orbtper,pl_orbtper_systemref,pl_rade,pl_radj,pl_masse,pl_massj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_msinie,pl_msinij,pl_dens,pl_eqt,pl_insol,pl_trandur,pl_trandep,pl_tranmid,pl_tranmid_systemref,pl_ratror,pl_ratdor,pl_imppar,pl_occdep,pl_rvamp,pl_projobliq,pl_trueobliq,pl_angsep,pl_nespec,pl_ntranspec,pl_ndispec,pl_pubdate,hostname,hd_name,hip_name,tic_id,gaia_dr2_id,gaia_dr3_id,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_lum,st_age,st_dens,st_rotp,st_vsin,st_radv,st_log_rhk,st_nphot,st_nrvc,st_nspec,sy_name,ra,dec,sy_dist,sy_plx,sy_pm,sy_pmra,sy_pmdec,sy_snum,sy_pnum,sy_mnum,cb_flag,sy_vmag,sy_bmag,sy_jmag,sy_hmag,sy_kmag,sy_gaiamag,sy_tmag,sy_kepmag,sy_umag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,discoverymethod,disc_year,disc_facility,disc_instrument,disc_locale,disc_pubdate,disc_refname,planet_class,habitability_zone_est,calc_density
11 Com b,b,0,0,1,0,0,0,0,0,323.21,1.178,0.238,,91.33,2454519.4,JD,12.2,1.09,,,4914.89848585,15.464,Msini,4914.898485848,15.464,14.9,803.26,68.5387,,,,,,,,,288.63,,,12.6,0,0,0,,11 Com,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,Gaia DR3 3946945413106333696,G8 III,4874.0,13.76,2.09,-0.26,2.45,1.97823,,,,1.2,43.36898,,1,2,0,11 Com,185.1787793,17.7932516,93.1846,10.7104,140.3836266,-109.241,88.1701,2,1,0,0,4.72307,5.726,2.943,2.484,2.282,4.44038,3.8379,,,,,,0.639,0.732,2.358,2.27,Radial Velocity,2007,Xinglong Station,Coude Echelle Spectrograph,Ground,2008-01,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,Gas Giant,Hot Zone,14.9
11 UMi b,b,0,0,1,0,0,0,0,0,516.21997,1.53,0.08,,117.63,2452861.04,,12.3,1.09,,,4684.8142,14.74,Msini,4684.8142,14.74,13.8,896.43,114.8502,,,,,,,,,189.7,,,12.2,0,0,0,,11 UMi,HD 136726,HIP 74793,TIC 230061010,Gaia DR2 1696798367260229376,Gaia DR3 1696798367260229376,K4 III,4213.0,29.79,2.78,-0.02,1.93,2.42951,1.56,,,1.5,-17.52023,,1,1,0,11 UMi,229.2745954,71.8239428,125.321,7.95388,10.6790187,3.42996,10.1132,1,1,0,0,5.013,6.382,2.876,2.091,1.939,4.56216,3.82294,,,,,,-0.29,0.143,1.894,1.787,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Coude Echelle Spectrograph,Ground,2009-10,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,Gas Giant,Hot Zone,13.8
14 And b,b,0,0,1,0,0,0,0,0,186.76,0.775,0.0,,0.0,2452853.0,JD,13.1,1.16,,,1131.15130051,3.559,Msini,1131.151300513,3.559,2.76,909.92,115.1634,,,,,,,,,86.08,,,10.3,0,0,0,,14 And,HD 221345,HIP 116076,TIC 333225860,Gaia DR2 1920113512486282240,Gaia DR3 1920113512486282240,K0 III,4888.0,11.55,1.78,-0.21,2.55,1.83992,4.5,,,2.6,-59.72633,,1,1,0,14 And,352.82415,39.2358367,75.4392,13.2289,299.2526179,287.292,-83.7582,1,1,0,0,5.23133,6.256,3.019,2.608,2.331,4.91781,4.3214,,,,,,1.592,2.545,2.719,2.719,Radial Velocity,2008,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,Ground,2008-12,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Gas Giant,Hot Zone,2.76
14 Her b,b,0,0,1,0,0,0,0,0,1766.41,2.839,0.3683,146.7,23.2,2451372.7,,12.5,1.12,2828.6728223,8.9,2828.6728223,8.9,Mass,1506.45,4.74,7.96,147.32,0.0873,,,2456834.4,BJD,,,,,90.0,,,158.0,0,0,0,,14 Her,HD 145675,HIP 79248,TIC 219483057,Gaia DR2 1385293808145621504,Gaia DR3 1385293808145621504,K0,5338.0,0.93,0.97,0.43,4.45,-0.15273,4.6,1.273928,,1.0,-13.8226,-5.06,1,4,1,14 Her,242.6021014,43.8163621,17.9323,55.7363,324.5303062,132.019,-296.464,1,2,0,0,6.61935,7.495,5.158,4.803,4.714,6.383,5.8631,,,,,,4.676,4.543,4.721,4.674,Radial Velocity,2002,W. M. Keck Observatory,HIRES Spectrometer,Ground,2003-01,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,Gas Giant,Cold Zone,7.96
HD 145675 c,c,0,0,1,0,0,1,0,1,15732.45889,20.0,0.52,116.3,172.5,2436430.122,BJD,12.6,1.12,2510.8444153,7.9,2510.8444153,7.9,Mass,1843.4047606,5.8,6.9,55.51,0.0018,,,2454680.0,BJD,,,,,36.515,,,1120.0,0,0,1,,14 Her,HD 145675,HIP 79248,TIC 219483057,Gaia DR2 1385293808145621504,Gaia DR3 1385293808145621504,K0,5338.0,0.93,0.97,0.43,4.45,-0.15273,4.6,1.273928,,1.0,-13.8226,-5.06,1,4,1,14 Her,242.6021014,43.8163621,17.9323,55.7363,324.5303062,132.019,-296.464,1,2,0,0,6.61935,7.495,5.158,4.803,4.714,6.383,5.8631,,,,,,4.676,4.543,4.721,4.674,Radial Velocity,2021,Multiple Observatories,Multiple Instruments,Ground,2021-07,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,Gas Giant,Cold Zone,6.9
16 Cyg B b,b,0,0,1,0,0,0,0,0,798.5,1.66,0.68,,82.74,2450539.3,,13.5,1.2,,,565.7374,1.78,Msini,565.7374,1.78,1.26,228.76,0.454,,,2456937.32,BJD,,,,,50.5,,,78.5,0,0,0,,16 Cyg B,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,Gaia DR3 2135550755683407232,G3 V,5750.0,1.13,1.08,0.06,4.36,0.09729,7.4,1.011029,,2.7,-28.1,-5.08,1,4,3,16 Cyg,295.4656422,50.5168243,21.1397,47.2754,211.1222128,-134.791,-162.493,3,1,0,0,6.215,6.876,4.993,4.695,4.651,6.06428,5.6281,6.095,,6.165,,,4.773,4.568,4.926,4.713,Radial Velocity,1996,Multiple Observatories,Multiple Instruments,Ground,1997-07,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,Gas Giant,Conservative Habitable Zone,1.26
17 Sco b,b,0,0,1,0,0,0,0,0,578.38,1.45,0.06,,57.03,2453294.41,JD,12.9,1.15,,,1373.01871824,4.32,Msini,1373.01871824,4.32,3.51,847.51,85.4316,,,,,,,,,92.4,,,11.6,0,0,0,,17 Sco,,HIP 79540,TIC 135596590,Gaia DR2 4342464209753404416,Gaia DR3 4342464209753404416,K3 III,4157.0,25.92,1.22,-0.01,1.7,2.25435,5.13,,329.49,3.98,,,0,0,0,17 Sco,243.4620874,-11.8377905,124.953,7.9805,10.6681995,-5.62983,-9.06176,1,1,0,0,5.22606,6.615,2.943,2.266,2.094,4.75429,3.97655,,,,,,0.122,0.752,2.058,1.931,Radial Velocity,2020,Lick Observatory,Hamilton Echelle Spectrograph,Ground,2020-12,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,Gas Giant,Hot Zone,3.51
18 Del b,b,0,0,1,0,0,0,0,0,982.85,2.476,0.024,,64.11,2454356.1,JD,12.5,1.12,,,2926.24614325,9.207,Msini,2926.246143249,9.207,8.23,452.72,7.0173,,,,,,,,,114.96,,,32.5,0,0,0,,18 Del,HD 199665,HIP 103527,TIC 354489950,Gaia DR2 1756741374681702784,Gaia DR3 1756741374681702784,G6 III,4980.0,8.8,2.1,-0.06,2.87,1.63367,1.1,,,,4.3454,,1,1,0,18 Del,314.6078375,10.8391378,76.222,13.0922,60.6038527,-50.0335,-34.1976,2,1,0,0,5.51048,6.43,4.032,3.44,3.366,5.27476,4.7181,,,,,,3.37,2.931,3.355,3.308,Radial Velocity,2008,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,Ground,2008-06,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,Gas Giant,Hot Zone,8.23
1RXS J160929.1-210524 b,b,0,0,0,0,0,0,0,1,,330.0,,,,,,18.647,1.664,3000.0,8.0,3000.0,8.0,Mass,,,2.54,1700.0,0.0,,,,,,,,,,,,2370.0,0,0,0,,1RXS J160929.1-210524,,,TIC 48964101,Gaia DR2 6243841249531772800,Gaia DR3 6243841249531772800,K7 V,4060.0,1.31316,0.85,,3.99592,-0.37,0.005,0.387885,,,,,0,0,0,1RXS J160929.1-210524,242.3762343,-21.0831403,139.135,7.15949,25.3771704,-10.2743,-23.2043,1,1,0,0,12.618,14.168,9.82,9.121,8.916,12.0572,11.1941,,,,,,8.794,8.79,8.684,8.531,Imaging,2008,Gemini Observatory,NIRI Camera,Ground,2008-12,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,Gas Giant,Cold Zone,2.54
24 Boo b,b,0,0,1,0,0,0,0,0,30.33,0.194,0.032,,-179.2,2455129.2,JD,13.9,1.24,,,280.64248338,0.883,Msini,280.642483381,0.883,0.574,1840.86,2001.2754,,,,,,,,,55.67,,,2.02,0,0,0,,24 Boo,HD 127243,HIP 70791,TIC 441712711,Gaia DR2 1603662211901473408,Gaia DR3 1603662211901473408,G3 IV,4816.0,12.19,1.05,-0.78,2.28,1.87691,6.92,,,3.36,-7.77089,,1,0,0,24 Boo,217.1555242,49.8446488,95.9863,10.39,307.6469784,-304.064,-46.8161,1,1,0,0,5.59,6.439,3.845,3.34,3.159,5.3339,4.7812,,,,,,,,,,Radial Velocity,2018,Okayama Astrophysical Observatory,HIDES Echelle Spectrograph,Ground,2018-08,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,Gas Giant,Hot Zone,0.574
